EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas,FechaAtencionTexto,SexoPaciente,PrioridadTriage,CostoAtencionCLP,FechaAtencion,anio_fecha,mes_fecha,dia_semana
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,1,5,insuficiencia respiratoria aguda,151,5,10,11,60,65,2023/01/02,m,c3,117079.0,,,,
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,1,6,covid-19 sospecha/confirmada,149,9,20,31,62,27,02-01-2023,f,c4,135898.0,2023-01-02,2023.0,1.0,monday
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,1,1,influenza y neumonia,155,10,10,25,71,39,02-01-2023,m,c2,49070.0,2023-01-02,2023.0,1.0,monday
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,1,2,infeccion respiratoria aguda alta,103,11,12,20,44,16,02.01.23,f,c3,125364.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,1,3,bronquitis/bronquiolitis aguda,69,26,18,11,10,4,02.01.23,m,c4,115660.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,1,4,crisis asmática,58,2,6,21,25,4,2023/01/02,m,c4,126883.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,1,5,insuficiencia respiratoria aguda,132,3,6,1,55,67,02.01.23,f,c4,48865.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,1,6,covid-19 sospecha/confirmada,113,6,10,22,51,24,2023/01/02,f,c1,96776.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,1,1,influenza y neumonia,185,14,13,24,86,48,02-01-2023,m,c2,103059.0,2023-01-02,2023.0,1.0,monday
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,1,2,infeccion respiratoria aguda alta,153,9,16,27,76,25,2023/01/02,m,c2,136831.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,1,3,bronquitis/bronquiolitis aguda,105,30,24,23,23,5,2023/01/02,f,c2,94193.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,1,4,crisis asmática,130,7,16,31,64,12,02-01-2023,f,c3,59599.0,2023-01-02,2023.0,1.0,monday
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,1,5,insuficiencia respiratoria aguda,110,2,3,9,47,49,02.01.23,m,c3,63165.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,1,6,covid-19 sospecha/confirmada,107,12,11,21,44,19,02-01-2023,f,c3,75518.0,2023-01-02,2023.0,1.0,monday
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,1,influenza y neumonia,61,8,8,6,23,16,2023/01/02,m,c4,115035.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,2,infeccion respiratoria aguda alta,152,18,17,26,57,34,02.01.23,f,c4,101680.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,3,bronquitis/bronquiolitis aguda,105,31,31,21,18,4,02-01-2023,f,c2,114360.0,2023-01-02,2023.0,1.0,monday
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,4,crisis asmática,189,5,19,44,108,13,02-01-2023,m,c2,109697.0,2023-01-02,2023.0,1.0,monday
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,5,insuficiencia respiratoria aguda,165,5,14,8,53,85,2023/01/02,f,c4,88527.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,1,6,covid-19 sospecha/confirmada,108,9,14,25,44,16,02-01-2023,m,c5,25352.0,2023-01-02,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,1,influenza y neumonia,106,9,8,16,38,35,09-01-2023,m,c4,121678.0,2023-01-09,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,2,infeccion respiratoria aguda alta,131,13,16,29,55,18,09-01-2023,f,c4,88909.0,2023-01-09,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,3,bronquitis/bronquiolitis aguda,100,27,26,19,21,7,09-01-2023,m,c4,144083.0,2023-01-09,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,4,crisis asmática,67,9,7,15,27,9,09-01-2023,f,c2,61768.0,2023-01-09,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,5,insuficiencia respiratoria aguda,201,11,11,11,69,99,09-01-2023,f,c5,132906.0,2023-01-09,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,2,6,covid-19 sospecha/confirmada,151,8,19,39,63,22,09-01-2023,m,c2,69380.0,2023-01-09,2023.0,1.0,monday
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,1,influenza y neumonia,92,6,7,12,44,23,09-01-2023,f,c2,110878.0,2023-01-09,2023.0,1.0,monday
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,2,infeccion respiratoria aguda alta,164,13,22,37,66,26,09-01-2023,m,c2,56387.0,2023-01-09,2023.0,1.0,monday
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,3,bronquitis/bronquiolitis aguda,205,63,50,35,51,6,09-01-2023,m,c2,80949.0,2023-01-09,2023.0,1.0,monday
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,4,crisis asmática,175,7,20,46,90,12,09-01-2023,f,c4,78058.0,2023-01-09,2023.0,1.0,monday
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,5,insuficiencia respiratoria aguda,118,1,4,9,42,62,2023/01/09,m,c2,57986.0,,,,
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,2,6,covid-19 sospecha/confirmada,146,8,19,23,79,17,09-01-2023,m,c4,118704.0,2023-01-09,2023.0,1.0,monday
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,1,influenza y neumonia,193,11,15,38,79,50,09-01-2023,f,c5,132317.0,2023-01-09,2023.0,1.0,monday
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,2,infeccion respiratoria aguda alta,148,8,17,31,62,30,09-01-2023,m,c4,101669.0,2023-01-09,2023.0,1.0,monday
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,3,bronquitis/bronquiolitis aguda,83,18,29,14,19,3,2023/01/09,m,c3,114449.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,4,crisis asmática,147,9,19,38,64,17,09.01.23,f,c5,86863.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,5,insuficiencia respiratoria aguda,92,2,3,8,32,47,2023/01/09,f,c2,68849.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,2,6,covid-19 sospecha/confirmada,138,6,15,39,62,726,2023/01/09,m,c2,119405.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,1,influenza y neumonia,132,10,12,20,56,34,2023/01/09,m,c3,75468.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,alta complejidad,2023,2,2,infeccion respiratoria aguda alta,129,12,16,21,66,14,2023/01/09,f,c3,111391.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,3,bronquitis/bronquiolitis aguda,44,18,10,6,8,2,09-01-2023,f,c3,73233.0,2023-01-09,2023.0,1.0,monday
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,4,crisis asmática,132,7,19,40,55,11,2023/01/09,m,c1,91493.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,5,insuficiencia respiratoria aguda,79,2,4,4,26,43,2023/01/09,m,c4,52547.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,2,6,covid-19 sospecha/confirmada,192,9,26,43,83,31,09-01-2023,f,c2,73783.0,2023-01-09,2023.0,1.0,monday
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,1,influenza y neumonia,185,18,16,33,86,32,2023/01/09,f,c2,57806.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,2,infeccion respiratoria aguda alta,49,4,4,9,24,8,2023/01/09,f,c3,98696.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,3,bronquitis/bronquiolitis aguda,173,43,45,28,48,9,09.01.23,f,c3,72899.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,4,crisis asmática,204,8,32,61,78,25,09-01-2023,m,c3,137042.0,2023-01-09,2023.0,1.0,monday
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,5,insuficiencia respiratoria aguda,203,5,5,11,80,102,2023/01/09,m,c2,102079.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,2,6,covid-19 sospecha/confirmada,60,4,5,12,26,13,2023/01/09,m,c3,104037.0,,,,
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,1,influenza y neumonia,46,4,7,9,18,8,16-01-2023,f,c4,95562.0,2023-01-16,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,2,infeccion respiratoria aguda alta,132,16,17,23,62,14,2023/01/16,f,c3,79251.0,,,,
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,3,bronquitis/bronquiolitis aguda,197,50,43,43,49,12,16-01-2023,f,c1,42462.0,2023-01-16,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,4,crisis asmática,56,3,5,15,27,6,2023/01/16,m,c2,78180.0,,,,
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,5,insuficiencia respiratoria aguda,92,4,8,6,36,38,16-01-2023,m,c3,94104.0,2023-01-16,2023.0,1.0,monday
110901,hospital regional de arica dr. juan noe,15,arica y parinacota,15101,arica,1,servicio de salud arica,hospital,servicio de salud,terciario,hospitalaria (ueh),-18.4783,-70.3126,alta complejidad,2023,3,6,covid-19 sospecha/confirmada,90,3,8,16,49,14,2023/01/16,f,c2,62647.0,,,,
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,1,influenza y neumonia,62,8,2,7,23,22,2023/01/16,m,c3,90554.0,,,,
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,2,infeccion respiratoria aguda alta,185,12,24,41,82,26,2023/01/16,m,c4,122107.0,,,,
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,3,bronquitis/bronquiolitis aguda,135,39,37,29,22,8,2023/01/16,f,c4,122410.0,,,,
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,4,crisis asmática,146,7,18,58,48,15,2023/01/16,m,c4,65585.0,,,,
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,5,insuficiencia respiratoria aguda,176,7,7,20,59,83,2023/01/16,f,c4,65828.0,,,,
130215,hospital dr. gustavo fricke,5,valparaiso,5109,vina del mar,5,servicio de salud vina del mar-quillota,hospital,servicio de salud,terciario,hospitalaria (ueh),-33.0245,-71.5518,alta complejidad,2023,3,6,covid-19 sospecha/confirmada,171,15,21,34,81,20,16.01.23,f,c3,130508.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,1,influenza y neumonia,109,20,18,12,35,24,16-01-2023,f,c3,87280.0,2023-01-16,2023.0,1.0,monday
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,2,infeccion respiratoria aguda alta,119,6,14,20,53,26,16.01.23,m,c3,97511.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,3,bronquitis/bronquiolitis aguda,51,16,11,7,13,4,2023/01/16,m,c4,80969.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,4,crisis asmática,143,10,15,35,67,16,16.01.23,f,c4,41831.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,5,insuficiencia respiratoria aguda,92,3,5,1033,30,44,16.01.23,m,c4,130069.0,,,,
131450,sar la reina,13,metropolitana,13115,la reina,9,servicio de salud metropolitano oriente,centro de salud,municipal,primario,ambulatoria (sar),-33.4429,-70.5477,baja complejidad,2023,3,6,covid-19 sospecha/confirmada,100,7,11,26,44,12,2023/01/16,f,c2,40529.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,1,influenza y neumonia,154,12,23,20,62,37,2023/01/16,m,c3,113445.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,2,infeccion respiratoria aguda alta,149,11,17,31,69,21,16-01-2023,m,c3,113768.0,2023-01-16,2023.0,1.0,monday
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,3,bronquitis/bronquiolitis aguda,55,16,17,9,8,5,2023/01/16,f,c2,122081.0,,,,
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,4,crisis asmática,88,3,6,23,48,8,16-01-2023,m,c3,104740.0,2023-01-16,2023.0,1.0,monday
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,5,insuficiencia respiratoria aguda,95,3,3,10,33,46,16-01-2023,f,c2,108208.0,2023-01-16,2023.0,1.0,monday
131622,sapu pudahuel sur,13,metropolitana,13126,pudahuel,8,servicio de salud metropolitano occidente,centro de salud,municipal,primario,ambulatoria (sapu),-33.4372,-70.7766,baja complejidad,2023,3,6,covid-19 sospecha/confirmada,124,5,15,28,57,19,16-01-2023,f,c4,105126.0,2023-01-16,2023.0,1.0,monday
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,1,influenza y neumonia,218,20,18,31,91,58,16.01.23,f,c3,149335.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,2,infeccion respiratoria aguda alta,174,7,17,34,83,33,16-01-2023,m,c4,136195.0,2023-01-16,2023.0,1.0,monday
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,3,bronquitis/bronquiolitis aguda,204,66,52,41,38,7,2023/01/16,m,c4,125547.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,4,crisis asmática,151,6,14,39,75,17,16.01.23,f,c2,94813.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,5,insuficiencia respiratoria aguda,102,3,3,6,39,51,2023/01/16,m,c3,131576.0,,,,
910333,hospital regional de temuco,9,la araucania,9101,temuco,13,servicio de salud araucania sur,hospital,servicio de salud,terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,alta complejidad,2023,3,6,covid-19 sospecha/confirmada,244,14,23,52,115,40,16-01-2023,m,c2,102601.0,2023-01-16,2023.0,1.0,monday
